,Num,Yds,Avg,Long,TB,In20,50+,Blk,SId,TId,PId,Player
0,1,16,16.0,16,0,0,--,0,S4,T8,P27,/players/zane-gonzalez-gonzaza01
1,0,0,0.0,0,0,0,--,0,S3,T8,P27,/players/zane-gonzalez-gonzaza01
2,2,84,42.0,44,0,0,0,0,S2,T1,P27,/players/zane-gonzalez-gonzaza01
3,0,0,0.0,0,0,0,0,0,S1,T1,P27,/players/zane-gonzalez-gonzaza01
0,0,0,0.0,0,0,0,--,0,S5,T12,P31,/players/brett-hundley-hundlbr01
1,0,0,0.0,0,0,0,--,0,S4,T12,P31,/players/brett-hundley-hundlbr01
2,0,0,0.0,0,0,0,--,0,S3,T12,P31,/players/brett-hundley-hundlbr01
3,0,0,0.0,0,0,0,0,0,S2,T1,P31,/players/brett-hundley-hundlbr01
4,0,0,0.0,0,0,0,0,0,S1,T1,P31,/players/brett-hundley-hundlbr01
0,36,"1,769",49.1,76,4,18,--,0,S5,T5,P42,/players/andy-lee-leean01
1,88,"4,159",47.3,63,8,29,--,0,S4,T1,P42,/players/andy-lee-leean01
2,94,"4,568",48.6,64,7,32,--,0,S3,T1,P42,/players/andy-lee-leean01
3,61,"2,913",47.8,64,4,21,31,1,S2,T1,P42,/players/andy-lee-leean01
4,58,"2,600",44.8,61,5,21,19,0,S1,T1,P42,/players/andy-lee-leean01
0,0,0,0.0,0,0,0,--,0,S5,T7,P49,/players/mike-nugent-nugenmi01
1,0,0,0.0,0,0,0,--,0,S4,T21,P49,/players/mike-nugent-nugenmi01
2,0,0,0.0,0,0,0,--,0,S3,T23,P49,/players/mike-nugent-nugenmi01
3,0,0,0.0,0,0,0,0,0,S2,T19,P49,/players/mike-nugent-nugenmi01
4,0,0,0.0,0,0,0,0,0,S1,T1,P49,/players/mike-nugent-nugenmi01
0,56,"2,381",42.5,57,2,17,11,0,S1,T2,P98,/players/sterling-hofrichter-hofrist01
0,45,"2,082",46.3,67,3,21,15,0,S1,T5,P149,/players/joseph-charlton-charljo02
0,0,0,0.0,0,0,0,0,0,S2,T5,P157,/players/will-grier-grierwi01
1,0,0,0.0,0,0,0,0,0,S1,T5,P157,/players/will-grier-grierwi01
0,0,0,0.0,0,0,0,--,0,S3,T5,P177,/players/dj-moore-mooredj02
1,0,0,0.0,0,0,0,0,0,S2,T5,P177,/players/dj-moore-mooredj02
2,0,0,0.0,0,0,0,0,0,S1,T5,P177,/players/dj-moore-mooredj02
0,0,0,0.0,0,0,0,--,0,S5,T16,P208,/players/tyler-bray-brayty01
1,0,0,0.0,0,0,0,--,0,S4,T16,P208,/players/tyler-bray-brayty01
2,0,0,0.0,0,0,0,--,0,S3,T6,P208,/players/tyler-bray-brayty01
3,0,0,0.0,0,0,0,0,0,S2,T6,P208,/players/tyler-bray-brayty01
4,0,0,0.0,0,0,0,0,0,S1,T6,P208,/players/tyler-bray-brayty01
0,68,"2,994",44.0,67,5,24,--,0,S5,T6,P249,/players/pat-odonnell-odonnpa01
1,87,"4,087",47.0,69,6,27,--,0,S4,T6,P249,/players/pat-odonnell-odonnpa01
2,62,"2,791",45.0,65,7,28,--,1,S3,T6,P249,/players/pat-odonnell-odonnpa01
3,80,"3,586",44.8,75,2,26,21,1,S2,T6,P249,/players/pat-odonnell-odonnpa01
4,64,"2,924",45.7,64,5,28,22,0,S1,T6,P249,/players/pat-odonnell-odonnpa01
0,0,0,0.0,0,0,0,--,0,S5,T16,P256,/players/cairo-santos-santoca01
1,0,0,0.0,0,0,0,--,0,S4,T16,P256,/players/cairo-santos-santoca01
2,0,0,0.0,0,0,0,--,0,S3,T29,P256,/players/cairo-santos-santoca01
3,0,0,0.0,0,0,0,0,0,S2,T30,P256,/players/cairo-santos-santoca01
4,0,0,0.0,0,0,0,0,0,S1,T6,P256,/players/cairo-santos-santoca01
0,0,0,0.0,0,0,0,--,0,S5,T7,P285,/players/andy-dalton-daltoan02
1,0,0,0.0,0,0,0,--,0,S4,T7,P285,/players/andy-dalton-daltoan02
2,0,0,0.0,0,0,0,--,0,S3,T7,P285,/players/andy-dalton-daltoan02
3,0,0,0.0,0,0,0,0,0,S2,T7,P285,/players/andy-dalton-daltoan02
4,0,0,0.0,0,0,0,0,0,S1,T9,P285,/players/andy-dalton-daltoan02
0,0,0,0.0,0,0,0,0,0,S1,T9,P287,/players/ben-dinucci-dinucbe01
0,0,0,0.0,0,0,0,--,0,S4,T5,P294,/players/garrett-gilbert-gilbega02
1,0,0,0.0,0,0,0,--,0,S3,T5,P294,/players/garrett-gilbert-gilbega02
2,0,0,0.0,0,0,0,0,0,S1,T9,P294,/players/garrett-gilbert-gilbega02
0,58,"2,661",45.9,66,4,25,--,1,S5,T9,P302,/players/chris-jones-jonesch08
1,66,"2,908",44.1,62,5,34,--,0,S4,T9,P302,/players/chris-jones-jonesch08
2,60,"2,670",44.5,63,2,17,--,0,S3,T9,P302,/players/chris-jones-jonesch08
3,50,"2,079",41.6,58,2,18,7,1,S2,T9,P302,/players/chris-jones-jonesch08
4,24,"1,022",42.6,54,1,5,2,0,S1,T9,P302,/players/chris-jones-jonesch08
0,0,0,0.0,0,0,0,0,0,S2,T16,P363,/players/jack-fox-foxja02
1,59,"2,897",49.1,67,7,26,33,0,S1,T11,P363,/players/jack-fox-foxja02
0,0,0,0.0,0,0,0,--,0,S5,T11,P396,/players/matt-prater-pratema01
1,4,139,34.8,47,0,1,--,0,S4,T11,P396,/players/matt-prater-pratema01
2,0,0,0.0,0,0,0,--,0,S3,T11,P396,/players/matt-prater-pratema01
3,0,0,0.0,0,0,0,0,0,S2,T11,P396,/players/matt-prater-pratema01
4,0,0,0.0,0,0,0,0,0,S1,T11,P396,/players/matt-prater-pratema01
0,0,0,0.0,0,0,0,--,0,S5,T2,P402,/players/mohamed-sanu-sanumo01
1,0,0,0.0,0,0,0,--,0,S4,T2,P402,/players/mohamed-sanu-sanumo01
2,0,0,0.0,0,0,0,--,0,S3,T2,P402,/players/mohamed-sanu-sanumo01
3,0,0,0.0,0,0,0,0,0,S2,T2,P402,/players/mohamed-sanu-sanumo01
4,0,0,0.0,0,0,0,0,0,S1,T27,P402,/players/mohamed-sanu-sanumo01
0,0,0,0.0,0,0,0,0,0,S2,T11,P409,/players/jahlani-tavai-tavaija01
1,0,0,0.0,0,0,0,0,0,S1,T11,P409,/players/jahlani-tavai-tavaija01
0,0,0,0.0,0,0,0,--,0,S5,T12,P432,/players/mason-crosby-crosbma01
1,0,0,0.0,0,0,0,--,0,S4,T12,P432,/players/mason-crosby-crosbma01
2,0,0,0.0,0,0,0,--,0,S3,T12,P432,/players/mason-crosby-crosbma01
3,0,0,0.0,0,0,0,0,0,S2,T12,P432,/players/mason-crosby-crosbma01
4,0,0,0.0,0,0,0,0,0,S1,T12,P432,/players/mason-crosby-crosbma01
0,0,0,0.0,0,0,0,0,0,S2,T16,P455,/players/john-lovett-lovetjo02
1,0,0,0.0,0,0,0,0,0,S1,T12,P455,/players/john-lovett-lovetjo02
0,71,"3,176",44.7,67,9,19,--,1,S3,T12,P470,/players/jk-scott-scottjk01
1,77,"3,386",44.0,66,4,29,22,0,S2,T12,P470,/players/jk-scott-scottjk01
2,46,"2,092",45.5,62,3,15,15,1,S1,T12,P470,/players/jk-scott-scottjk01
0,0,0,0.0,0,0,0,--,0,S5,T18,P506,/players/kai-forbath-forbaka01
1,0,0,0.0,0,0,0,--,0,S4,T18,P506,/players/kai-forbath-forbaka01
2,0,0,0.0,0,0,0,--,0,S3,T18,P506,/players/kai-forbath-forbaka01
3,0,0,0.0,0,0,0,0,0,S2,T19,P506,/players/kai-forbath-forbaka01
4,0,0,0.0,0,0,0,0,0,S1,T29,P506,/players/kai-forbath-forbaka01
0,0,0,0.0,0,0,0,--,0,S5,T29,P512,/players/jared-goff-goffja01
1,0,0,0.0,0,0,0,--,0,S4,T29,P512,/players/jared-goff-goffja01
2,0,0,0.0,0,0,0,--,0,S3,T29,P512,/players/jared-goff-goffja01
3,0,0,0.0,0,0,0,0,0,S2,T29,P512,/players/jared-goff-goffja01
4,0,0,0.0,0,0,0,0,0,S1,T29,P512,/players/jared-goff-goffja01
0,98,"4,680",47.8,78,1,51,--,0,S5,T29,P514,/players/johnny-hekker-hekkejo01
1,65,"3,113",47.9,70,4,30,--,0,S4,T29,P514,/players/johnny-hekker-hekkejo01
2,43,"1,992",46.3,68,2,21,--,0,S3,T29,P514,/players/johnny-hekker-hekkejo01
3,66,"3,128",47.4,71,5,22,27,1,S2,T29,P514,/players/johnny-hekker-hekkejo01
4,68,"3,099",45.6,63,5,28,19,1,S1,T29,P514,/players/johnny-hekker-hekkejo01
0,0,0,0.0,0,0,0,--,0,S5,T9,P555,/players/dan-bailey-baileda04
1,0,0,0.0,0,0,0,--,0,S4,T9,P555,/players/dan-bailey-baileda04
2,0,0,0.0,0,0,0,--,0,S3,T9,P555,/players/dan-bailey-baileda04
3,0,0,0.0,0,0,0,0,0,S2,T18,P555,/players/dan-bailey-baileda04
4,0,0,0.0,0,0,0,0,0,S1,T18,P555,/players/dan-bailey-baileda04
0,83,"3,761",45.3,65,2,22,--,0,S5,T8,P565,/players/britton-colquitt-colqubr01
1,80,"3,811",47.6,67,2,24,--,1,S4,T8,P565,/players/britton-colquitt-colqubr01
2,83,"3,767",45.4,79,6,32,--,2,S3,T8,P565,/players/britton-colquitt-colqubr01
3,0,0,0.0,0,0,0,0,0,S2,T8,P565,/players/britton-colquitt-colqubr01
4,54,"2,435",45.1,59,3,11,16,2,S1,T18,P565,/players/britton-colquitt-colqubr01
0,0,0,0.0,0,0,0,--,0,S4,T12,P653,/players/taysom-hill-hillta01
1,0,0,0.0,0,0,0,--,0,S3,T20,P653,/players/taysom-hill-hillta01
2,0,0,0.0,0,0,0,0,0,S2,T20,P653,/players/taysom-hill-hillta01
3,0,0,0.0,0,0,0,0,0,S1,T20,P653,/players/taysom-hill-hillta01
0,0,0,0.0,0,0,0,--,0,S5,T3,P666,/players/wil-lutz-lutzwi01
1,0,0,0.0,0,0,0,--,0,S4,T20,P666,/players/wil-lutz-lutzwi01
2,0,0,0.0,0,0,0,--,0,S3,T20,P666,/players/wil-lutz-lutzwi01
3,0,0,0.0,0,0,0,0,0,S2,T20,P666,/players/wil-lutz-lutzwi01
4,0,0,0.0,0,0,0,0,0,S1,T20,P666,/players/wil-lutz-lutzwi01
0,57,"2,751",48.3,66,5,22,--,0,S5,T20,P669,/players/thomas-morstead-morstth01
1,60,"2,822",47.0,68,2,26,--,0,S4,T20,P669,/players/thomas-morstead-morstth01
2,43,"1,996",46.4,60,4,15,--,0,S3,T20,P669,/players/thomas-morstead-morstth01
3,60,"2,770",46.2,64,1,29,23,0,S2,T20,P669,/players/thomas-morstead-morstth01
4,62,"2,674",43.1,58,2,23,12,0,S1,T20,P669,/players/thomas-morstead-morstth01
0,89,"4,068",45.7,68,6,28,--,0,S5,T10,P705,/players/riley-dixon-dixonri03
1,73,"3,331",45.6,60,3,23,--,2,S4,T10,P705,/players/riley-dixon-dixonri03
2,71,"3,226",45.4,60,4,20,--,0,S3,T21,P705,/players/riley-dixon-dixonri03
3,69,"3,178",46.1,62,2,29,23,2,S2,T21,P705,/players/riley-dixon-dixonri03
4,65,"2,911",44.8,71,6,28,20,1,S1,T21,P705,/players/riley-dixon-dixonri03
0,4,180,45.0,54,2,0,--,0,S5,T5,P713,/players/graham-gano-ganogr01
1,0,0,0.0,0,0,0,--,0,S4,T5,P713,/players/graham-gano-ganogr01
2,0,0,0.0,0,0,0,--,0,S3,T5,P713,/players/graham-gano-ganogr01
3,0,0,0.0,0,0,0,0,0,S1,T21,P713,/players/graham-gano-ganogr01
0,0,0,0.0,0,0,0,0,0,S2,T21,P723,/players/daniel-jones-jonesda20
1,0,0,0.0,0,0,0,0,0,S1,T21,P723,/players/daniel-jones-jonesda20
0,0,0,0.0,0,0,0,--,0,S5,T32,P734,/players/colt-mccoy-mccoyco01
1,0,0,0.0,0,0,0,--,0,S4,T32,P734,/players/colt-mccoy-mccoyco01
2,0,0,0.0,0,0,0,--,0,S3,T32,P734,/players/colt-mccoy-mccoyco01
3,0,0,0.0,0,0,0,0,0,S2,T32,P734,/players/colt-mccoy-mccoyco01
4,0,0,0.0,0,0,0,0,0,S1,T21,P734,/players/colt-mccoy-mccoyco01
0,0,0,0.0,0,0,0,--,0,S5,T5,P756,/players/joe-webb-webbjo01
1,0,0,0.0,0,0,0,--,0,S4,T5,P756,/players/joe-webb-webbjo01
2,0,0,0.0,0,0,0,--,0,S3,T13,P756,/players/joe-webb-webbjo01
3,0,0,0.0,0,0,0,0,0,S2,T13,P756,/players/joe-webb-webbjo01
4,0,0,0.0,0,0,0,0,0,S1,T21,P756,/players/joe-webb-webbjo01
0,0,0,0.0,0,0,0,--,0,S4,T7,P779,/players/jake-elliott-ellioja04
1,0,0,0.0,0,0,0,--,0,S3,T24,P779,/players/jake-elliott-ellioja04
2,0,0,0.0,0,0,0,0,0,S2,T24,P779,/players/jake-elliott-ellioja04
3,2,77,38.5,42,0,1,0,0,S1,T24,P779,/players/jake-elliott-ellioja04
0,0,0,0.0,0,0,0,--,0,S4,T24,P801,/players/cameron-johnston-johnsca07
1,61,"2,937",48.1,68,7,24,--,0,S3,T24,P801,/players/cameron-johnston-johnsca07
2,71,"3,292",46.4,61,4,28,26,0,S2,T24,P801,/players/cameron-johnston-johnsca07
3,71,"3,318",46.7,66,6,26,25,1,S1,T24,P801,/players/cameron-johnston-johnsca07
0,0,0,0.0,0,0,0,--,0,S4,T27,P850,/players/cj-beathard-beathcj01
1,0,0,0.0,0,0,0,--,0,S3,T27,P850,/players/cj-beathard-beathcj01
2,0,0,0.0,0,0,0,0,0,S2,T27,P850,/players/cj-beathard-beathcj01
3,0,0,0.0,0,0,0,0,0,S1,T27,P850,/players/cj-beathard-beathcj01
0,0,0,0.0,0,0,0,--,0,S5,T19,P867,/players/jimmy-garoppolo-garopji01
1,0,0,0.0,0,0,0,--,0,S4,T19,P867,/players/jimmy-garoppolo-garopji01
2,0,0,0.0,0,0,0,--,0,S3,T27,P867,/players/jimmy-garoppolo-garopji01
3,0,0,0.0,0,0,0,0,0,S2,T27,P867,/players/jimmy-garoppolo-garopji01
4,0,0,0.0,0,0,0,0,0,S1,T27,P867,/players/jimmy-garoppolo-garopji01
0,0,0,0.0,0,0,0,--,0,S5,T6,P869,/players/robbie-gould-gouldro01
1,0,0,0.0,0,0,0,--,0,S4,T27,P869,/players/robbie-gould-gouldro01
2,0,0,0.0,0,0,0,--,0,S3,T27,P869,/players/robbie-gould-gouldro01
3,0,0,0.0,0,0,0,0,0,S2,T27,P869,/players/robbie-gould-gouldro01
4,0,0,0.0,0,0,0,0,0,S1,T27,P869,/players/robbie-gould-gouldro01
0,0,0,0.0,0,0,0,--,0,S3,T1,P900,/players/josh-rosen-rosenjo01
1,0,0,0.0,0,0,0,0,0,S2,T17,P900,/players/josh-rosen-rosenjo01
2,0,0,0.0,0,0,0,0,0,S1,T27,P900,/players/josh-rosen-rosenjo01
0,0,0,0.0,0,0,0,0,0,S2,T7,P912,/players/tristan-vizcaino-vizcatr01
1,0,0,0.0,0,0,0,0,0,S1,T27,P912,/players/tristan-vizcaino-vizcatr01
0,0,0,0.0,0,0,0,0,0,S2,T27,P914,/players/austin-walter-walteau01
0,52,"2,333",44.9,65,2,23,16,0,S2,T27,P923,/players/mitch-wishnowsky-wishnmi01
1,66,"3,093",46.9,60,6,25,22,1,S1,T27,P923,/players/mitch-wishnowsky-wishnmi01
0,78,"3,759",48.2,69,5,28,--,1,S3,T28,P941,/players/michael-dickson-dicksmi01
1,74,"3,341",45.1,63,5,34,28,0,S2,T28,P941,/players/michael-dickson-dicksmi01
2,61,"3,028",49.6,67,6,32,30,0,S1,T28,P941,/players/michael-dickson-dicksmi01
0,0,0,0.0,0,0,0,--,0,S5,T19,P1001,/players/tom-brady-bradyto01
1,0,0,0.0,0,0,0,--,0,S4,T19,P1001,/players/tom-brady-bradyto01
2,0,0,0.0,0,0,0,--,0,S3,T19,P1001,/players/tom-brady-bradyto01
3,0,0,0.0,0,0,0,0,0,S2,T19,P1001,/players/tom-brady-bradyto01
4,0,0,0.0,0,0,0,0,0,S1,T30,P1001,/players/tom-brady-bradyto01
0,100,"4,402",44.0,65,4,28,--,0,S5,T27,P1042,/players/bradley-pinion-piniobr01
1,75,"3,255",43.4,59,1,31,--,0,S4,T27,P1042,/players/bradley-pinion-piniobr01
2,68,"2,973",43.7,64,4,22,--,1,S3,T27,P1042,/players/bradley-pinion-piniobr01
3,57,"2,464",43.2,63,3,19,5,0,S2,T30,P1042,/players/bradley-pinion-piniobr01
4,55,"2,486",45.2,62,2,19,14,0,S1,T30,P1042,/players/bradley-pinion-piniobr01
0,0,0,0.0,0,0,0,--,0,S5,T31,P1049,/players/ryan-succop-succory01
1,0,0,0.0,0,0,0,--,0,S4,T31,P1049,/players/ryan-succop-succory01
2,0,0,0.0,0,0,0,--,0,S3,T31,P1049,/players/ryan-succop-succory01
3,0,0,0.0,0,0,0,0,0,S2,T31,P1049,/players/ryan-succop-succory01
4,0,0,0.0,0,0,0,0,0,S1,T30,P1049,/players/ryan-succop-succory01
0,0,0,0.0,0,0,0,--,0,S5,T18,P1084,/players/taylor-heinicke-heinita01
1,0,0,0.0,0,0,0,--,0,S4,T13,P1084,/players/taylor-heinicke-heinita01
2,0,0,0.0,0,0,0,--,0,S3,T5,P1084,/players/taylor-heinicke-heinita01
3,0,0,0.0,0,0,0,0,0,S2,T5,P1084,/players/taylor-heinicke-heinita01
0,0,0,0.0,0,0,0,--,0,S3,T32,P1123,/players/greg-stroman-stromgr01
1,0,0,0.0,0,0,0,0,0,S2,T32,P1123,/players/greg-stroman-stromgr01
2,0,0,0.0,0,0,0,0,0,S1,T32,P1123,/players/greg-stroman-stromgr01
0,49,"2,209",45.1,61,4,15,--,0,S5,T32,P1128,/players/tress-way-waytr01
1,83,"3,794",45.7,64,6,33,--,0,S4,T32,P1128,/players/tress-way-waytr01
2,79,"3,581",45.3,63,0,41,--,0,S3,T32,P1128,/players/tress-way-waytr01
3,79,"3,919",49.6,79,4,30,41,0,S2,T32,P1128,/players/tress-way-waytr01
4,73,"3,504",48.0,65,3,23,34,0,S1,T32,P1128,/players/tress-way-waytr01
0,0,0,0.0,0,0,0,--,0,S5,T8,P1163,/players/robert-griffin-griffro02
1,0,0,0.0,0,0,0,--,0,S3,T3,P1163,/players/robert-griffin-griffro02
2,0,0,0.0,0,0,0,0,0,S2,T3,P1163,/players/robert-griffin-griffro02
3,0,0,0.0,0,0,0,0,0,S1,T3,P1163,/players/robert-griffin-griffro02
0,80,"3,665",45.8,68,5,37,--,0,S5,T3,P1173,/players/sam-koch-kochsa01
1,84,"3,765",44.8,67,3,40,--,1,S4,T3,P1173,/players/sam-koch-kochsa01
2,60,"2,842",47.4,65,5,27,--,1,S3,T3,P1173,/players/sam-koch-kochsa01
3,40,"1,855",46.4,62,4,21,11,1,S2,T3,P1173,/players/sam-koch-kochsa01
4,51,"2,268",44.5,59,1,22,10,0,S1,T3,P1173,/players/sam-koch-kochsa01
0,70,"3,022",43.2,64,5,17,--,0,S3,T23,P1194,/players/johnny-townsend-townsjo02
1,0,0,0.0,0,0,0,0,0,S2,T21,P1194,/players/johnny-townsend-townsjo02
2,2,100,50.0,55,0,0,1,0,S1,T3,P1194,/players/johnny-townsend-townsjo02
0,0,0,0.0,0,0,0,--,0,S5,T3,P1195,/players/justin-tucker-tuckeju01
1,0,0,0.0,0,0,0,--,0,S4,T3,P1195,/players/justin-tucker-tuckeju01
2,0,0,0.0,0,0,0,--,0,S3,T3,P1195,/players/justin-tucker-tuckeju01
3,0,0,0.0,0,0,0,0,0,S2,T3,P1195,/players/justin-tucker-tuckeju01
4,0,0,0.0,0,0,0,0,0,S1,T3,P1195,/players/justin-tucker-tuckeju01
0,0,0,0.0,0,0,0,0,0,S1,T4,P1206,/players/tyler-bass-bassty01
0,45,"2,028",45.1,60,4,22,--,1,S3,T4,P1211,/players/corey-bojorquez-bojorco01
1,79,"3,313",41.9,67,7,34,17,1,S2,T4,P1211,/players/corey-bojorquez-bojorco01
2,41,"2,082",50.8,72,7,18,24,0,S1,T4,P1211,/players/corey-bojorquez-bojorco01
0,0,0,0.0,0,0,0,--,0,S5,T21,P1285,/players/randy-bullock-bullora01
1,0,0,0.0,0,0,0,--,0,S4,T7,P1285,/players/randy-bullock-bullora01
2,0,0,0.0,0,0,0,--,0,S3,T7,P1285,/players/randy-bullock-bullora01
3,0,0,0.0,0,0,0,0,0,S2,T7,P1285,/players/randy-bullock-bullora01
4,0,0,0.0,0,0,0,0,0,S1,T7,P1285,/players/randy-bullock-bullora01
0,78,"3,613",46.3,72,8,23,--,0,S5,T7,P1304,/players/kevin-huber-huberke01
1,88,"4,101",46.6,63,3,32,--,1,S4,T7,P1304,/players/kevin-huber-huberke01
2,71,"3,119",43.9,69,3,29,--,1,S3,T7,P1304,/players/kevin-huber-huberke01
3,75,"3,394",45.3,63,5,30,25,0,S2,T7,P1304,/players/kevin-huber-huberke01
4,71,"3,350",47.2,72,7,19,26,0,S1,T7,P1304,/players/kevin-huber-huberke01
0,1,37,37.0,37,0,1,0,0,S2,T8,P1324,/players/austin-seibert-seibeau01
1,0,0,0.0,0,0,0,0,0,S1,T8,P1324,/players/austin-seibert-seibeau01
0,63,"2,913",46.2,71,5,28,22,1,S2,T8,P1352,/players/jamie-gillan-gillaja01
1,51,"2,244",44.0,59,3,14,13,0,S1,T8,P1352,/players/jamie-gillan-gillaja01
0,0,0,0.0,0,0,0,--,0,S5,T29,P1373,/players/case-keenum-keenuca01
1,0,0,0.0,0,0,0,--,0,S4,T18,P1373,/players/case-keenum-keenuca01
2,0,0,0.0,0,0,0,--,0,S3,T10,P1373,/players/case-keenum-keenuca01
3,0,0,0.0,0,0,0,0,0,S2,T32,P1373,/players/case-keenum-keenuca01
4,0,0,0.0,0,0,0,0,0,S1,T8,P1373,/players/case-keenum-keenuca01
0,0,0,0.0,0,0,0,--,0,S5,T27,P1429,/players/jeff-driskel-driskje01
1,0,0,0.0,0,0,0,--,0,S4,T7,P1429,/players/jeff-driskel-driskje01
2,0,0,0.0,0,0,0,--,0,S3,T7,P1429,/players/jeff-driskel-driskje01
3,0,0,0.0,0,0,0,0,0,S2,T7,P1429,/players/jeff-driskel-driskje01
4,0,0,0.0,0,0,0,0,0,S1,T10,P1429,/players/jeff-driskel-driskje01
0,62,"3,010",48.5,63,3,23,--,0,S5,T11,P1452,/players/sam-martin-martisa03
1,41,"1,779",43.4,64,6,13,--,0,S4,T11,P1452,/players/sam-martin-martisa03
2,74,"3,310",44.7,61,4,32,--,0,S3,T11,P1452,/players/sam-martin-martisa03
3,76,"3,445",45.3,62,7,31,25,0,S2,T11,P1452,/players/sam-martin-martisa03
4,65,"3,040",46.8,69,4,19,25,1,S1,T10,P1452,/players/sam-martin-martisa03
0,0,0,0.0,0,0,0,--,0,S5,T10,P1453,/players/brandon-mcmanus-mcmanbr01
1,1,26,26.0,26,0,1,--,0,S4,T10,P1453,/players/brandon-mcmanus-mcmanbr01
2,0,0,0.0,0,0,0,--,0,S3,T10,P1453,/players/brandon-mcmanus-mcmanbr01
3,0,0,0.0,0,0,0,0,0,S2,T10,P1453,/players/brandon-mcmanus-mcmanbr01
4,0,0,0.0,0,0,0,0,0,S1,T10,P1453,/players/brandon-mcmanus-mcmanbr01
0,0,0,0.0,0,0,0,--,0,S5,T10,P1466,/players/justin-simmons-simmoju01
1,0,0,0.0,0,0,0,--,0,S4,T10,P1466,/players/justin-simmons-simmoju01
2,0,0,0.0,0,0,0,--,0,S3,T10,P1466,/players/justin-simmons-simmoju01
3,0,0,0.0,0,0,0,0,0,S2,T10,P1466,/players/justin-simmons-simmoju01
4,0,0,0.0,0,0,0,0,0,S1,T10,P1466,/players/justin-simmons-simmoju01
0,70,"3,215",45.9,59,5,37,--,0,S5,T30,P1480,/players/bryan-anger-angerbr01
1,65,"2,857",44.0,62,5,24,--,1,S4,T30,P1480,/players/bryan-anger-angerbr01
2,57,"2,567",45.0,64,4,15,--,1,S3,T30,P1480,/players/bryan-anger-angerbr01
3,45,"2,094",46.5,71,2,24,18,0,S2,T13,P1480,/players/bryan-anger-angerbr01
4,54,"2,505",46.4,67,6,19,22,0,S1,T13,P1480,/players/bryan-anger-angerbr01
0,0,0,0.0,0,0,0,--,0,S5,T13,P1495,/players/kaimi-fairbairn-fairbka01
1,0,0,0.0,0,0,0,--,0,S4,T13,P1495,/players/kaimi-fairbairn-fairbka01
2,0,0,0.0,0,0,0,--,0,S3,T13,P1495,/players/kaimi-fairbairn-fairbka01
3,1,26,26.0,26,0,1,0,0,S2,T13,P1495,/players/kaimi-fairbairn-fairbka01
4,1,26,26.0,26,0,1,0,0,S1,T13,P1495,/players/kaimi-fairbairn-fairbka01
0,0,0,0.0,0,0,0,--,0,S4,T13,P1542,/players/deshaun-watson-watsode03
