,Num,Yds,Avg,Long,TB,In20,50+,Blk,SId,TId,PId,Player
1,0,0,0.0,0,0,0,--,0,S3,T13,P1542,/players/deshaun-watson-watsode03
2,0,0,0.0,0,0,0,0,0,S2,T13,P1542,/players/deshaun-watson-watsode03
3,0,0,0.0,0,0,0,0,0,S1,T13,P1542,/players/deshaun-watson-watsode03
0,72,"3,217",44.7,57,5,23,--,0,S5,T19,P1547,/players/ryan-allen-allenry01
1,58,"2,515",43.4,60,3,24,--,0,S4,T19,P1547,/players/ryan-allen-allenry01
2,64,"2,885",45.1,66,5,21,--,0,S3,T19,P1547,/players/ryan-allen-allenry01
3,28,"1,172",41.9,59,3,14,7,0,S2,T2,P1547,/players/ryan-allen-allenry01
4,8,404,50.5,65,1,0,3,0,S1,T31,P1547,/players/ryan-allen-allenry01
0,0,0,0.0,0,0,0,0,0,S1,T14,P1564,/players/jacob-eason-easonja01
0,84,"3,764",44.8,61,3,28,--,1,S4,T14,P1597,/players/rigoberto-sanchez-sanchri01
1,57,"2,629",46.1,63,5,24,--,0,S3,T14,P1597,/players/rigoberto-sanchez-sanchri01
2,59,"2,619",44.4,60,1,22,18,0,S2,T14,P1597,/players/rigoberto-sanchez-sanchri01
3,42,"1,940",46.2,60,4,18,15,1,S1,T14,P1597,/players/rigoberto-sanchez-sanchri01
0,0,0,0.0,0,0,0,--,0,S3,T16,P1599,/players/tremon-smith-smithtr10
1,0,0,0.0,0,0,0,0,0,S2,T16,P1599,/players/tremon-smith-smithtr10
2,0,0,0.0,0,0,0,0,0,S1,T14,P1599,/players/tremon-smith-smithtr10
0,76,"3,427",45.1,64,9,38,--,0,S5,T16,P1625,/players/dustin-colquitt-colqudu01
1,65,"2,936",45.2,77,5,29,--,0,S4,T16,P1625,/players/dustin-colquitt-colqudu01
2,45,"2,021",44.9,67,5,21,--,0,S3,T16,P1625,/players/dustin-colquitt-colqudu01
3,48,"2,126",44.3,68,3,21,14,1,S2,T16,P1625,/players/dustin-colquitt-colqudu01
4,20,861,43.0,59,2,6,3,0,S1,T25,P1625,/players/dustin-colquitt-colqudu01
0,86,"3,872",45.0,72,7,37,--,0,S3,T15,P1627,/players/logan-cooke-cookelo01
1,75,"3,507",46.8,66,2,25,26,0,S2,T15,P1627,/players/logan-cooke-cookelo01
2,56,"2,669",47.7,67,5,19,20,0,S1,T15,P1627,/players/logan-cooke-cookelo01
0,0,0,0.0,0,0,0,0,0,S1,T15,P1653,/players/jake-luton-lutonja01
0,0,0,0.0,0,0,0,0,0,S2,T4,P1658,/players/chase-mclaughlin-mclauch02
1,0,0,0.0,0,0,0,0,0,S1,T15,P1658,/players/chase-mclaughlin-mclauch02
0,0,0,0.0,0,0,0,--,0,S5,T31,P1675,/players/aldrick-rosas-rosasal01
1,0,0,0.0,0,0,0,--,0,S4,T21,P1675,/players/aldrick-rosas-rosasal01
2,0,0,0.0,0,0,0,--,0,S3,T21,P1675,/players/aldrick-rosas-rosasal01
3,0,0,0.0,0,0,0,0,0,S2,T21,P1675,/players/aldrick-rosas-rosasal01
4,3,110,36.7,44,0,0,0,0,S1,T15,P1675,/players/aldrick-rosas-rosasal01
0,0,0,0.0,0,0,0,0,0,S1,T15,P1692,/players/brandon-wright-wrighbr03
0,52,"2,339",45.0,67,6,20,20,0,S1,T16,P1749,/players/tommy-townsend-townsto01
0,0,0,0.0,0,0,0,--,0,S3,T18,P1769,/players/daniel-carlson-carlsda01
1,0,0,0.0,0,0,0,0,0,S2,T23,P1769,/players/daniel-carlson-carlsda01
2,0,0,0.0,0,0,0,0,0,S1,T23,P1769,/players/daniel-carlson-carlsda01
0,0,0,0.0,0,0,0,--,0,S5,T23,P1770,/players/derek-carr-carrde03
1,0,0,0.0,0,0,0,--,0,S4,T23,P1770,/players/derek-carr-carrde03
2,0,0,0.0,0,0,0,--,0,S3,T23,P1770,/players/derek-carr-carrde03
3,0,0,0.0,0,0,0,0,0,S2,T23,P1770,/players/derek-carr-carrde03
4,0,0,0.0,0,0,0,0,0,S1,T23,P1770,/players/derek-carr-carrde03
0,67,"3,081",46.0,74,6,33,21,0,S2,T23,P1772,/players/aj-cole-coleaj01
1,44,"1,939",44.1,63,2,20,12,0,S1,T23,P1772,/players/aj-cole-coleaj01
0,0,0,0.0,0,0,0,0,0,S2,T23,P1814,/players/hunter-renfrow-renfrhu01
1,0,0,0.0,0,0,0,0,0,S1,T23,P1814,/players/hunter-renfrow-renfrhu01
0,48,"2,256",47.0,60,2,17,21,0,S2,T26,P1870,/players/ty-long-longty01
1,57,"2,669",46.8,63,3,12,23,3,S1,T26,P1870,/players/ty-long-longty01
0,0,0,0.0,0,0,0,0,0,S2,T26,P1887,/players/easton-stick-stickea01
1,0,0,0.0,0,0,0,0,0,S1,T26,P1887,/players/easton-stick-stickea01
0,0,0,0.0,0,0,0,--,0,S5,T19,P1919,/players/kamu-grugierhill-grugika01
1,0,0,0.0,0,0,0,--,0,S4,T24,P1919,/players/kamu-grugierhill-grugika01
2,0,0,0.0,0,0,0,--,0,S3,T24,P1919,/players/kamu-grugierhill-grugika01
3,0,0,0.0,0,0,0,0,0,S2,T24,P1919,/players/kamu-grugierhill-grugika01
4,0,0,0.0,0,0,0,0,0,S1,T17,P1919,/players/kamu-grugierhill-grugika01
0,83,"3,695",44.5,64,5,30,--,0,S4,T17,P1920,/players/matt-haack-haackma01
1,87,"3,884",44.6,65,6,35,--,1,S3,T17,P1920,/players/matt-haack-haackma01
2,69,"3,105",45.0,62,2,23,25,0,S2,T17,P1920,/players/matt-haack-haackma01
3,68,"3,040",44.7,63,2,26,21,0,S1,T17,P1920,/players/matt-haack-haackma01
0,81,"3,638",44.9,65,6,36,29,0,S2,T19,P1960,/players/jake-bailey-baileja01
1,55,"2,678",48.7,71,5,31,28,0,S1,T19,P1960,/players/jake-bailey-baileja01
0,0,0,0.0,0,0,0,--,0,S5,T19,P1978,/players/julian-edelman-edelmju01
1,0,0,0.0,0,0,0,--,0,S4,T19,P1978,/players/julian-edelman-edelmju01
2,0,0,0.0,0,0,0,--,0,S3,T19,P1978,/players/julian-edelman-edelmju01
3,0,0,0.0,0,0,0,0,0,S2,T19,P1978,/players/julian-edelman-edelmju01
4,0,0,0.0,0,0,0,0,0,S1,T19,P1978,/players/julian-edelman-edelmju01
0,0,0,0.0,0,0,0,--,0,S5,T22,P1981,/players/nick-folk-folkni01
1,0,0,0.0,0,0,0,--,0,S4,T30,P1981,/players/nick-folk-folkni01
2,0,0,0.0,0,0,0,0,0,S1,T19,P1981,/players/nick-folk-folkni01
0,0,0,0.0,0,0,0,--,0,S5,T5,P2004,/players/cam-newton-newtoca02
1,0,0,0.0,0,0,0,--,0,S4,T5,P2004,/players/cam-newton-newtoca02
2,0,0,0.0,0,0,0,--,0,S3,T5,P2004,/players/cam-newton-newtoca02
3,0,0,0.0,0,0,0,0,0,S2,T5,P2004,/players/cam-newton-newtoca02
4,0,0,0.0,0,0,0,0,0,S1,T19,P2004,/players/cam-newton-newtoca02
0,0,0,0.0,0,0,0,0,0,S2,T19,P2011,/players/jarrett-stidham-stidhja01
1,0,0,0.0,0,0,0,0,0,S1,T19,P2011,/players/jarrett-stidham-stidhja01
0,0,0,0.0,0,0,0,--,0,S5,T15,P2045,/players/sam-ficken-fickesa01
1,0,0,0.0,0,0,0,--,0,S4,T16,P2045,/players/sam-ficken-fickesa01
2,0,0,0.0,0,0,0,--,0,S3,T29,P2045,/players/sam-ficken-fickesa01
3,0,0,0.0,0,0,0,0,0,S2,T12,P2045,/players/sam-ficken-fickesa01
4,0,0,0.0,0,0,0,0,0,S1,T22,P2045,/players/sam-ficken-fickesa01
0,82,"3,598",43.9,60,5,19,19,0,S1,T22,P2068,/players/braden-mann-mannbr01
0,0,0,0.0,0,0,0,--,0,S3,T3,P2083,/players/jaleel-scott-scottja05
1,0,0,0.0,0,0,0,0,0,S2,T3,P2083,/players/jaleel-scott-scottja05
2,0,0,0.0,0,0,0,0,0,S1,T22,P2083,/players/jaleel-scott-scottja05
0,68,"3,100",45.6,64,3,25,--,1,S5,T25,P2100,/players/jordan-berry-berryjo01
1,64,"2,763",43.2,62,2,26,--,0,S4,T25,P2100,/players/jordan-berry-berryjo01
2,63,"2,753",43.7,69,4,28,--,0,S3,T25,P2100,/players/jordan-berry-berryjo01
3,74,"3,368",45.5,69,4,24,23,0,S2,T25,P2100,/players/jordan-berry-berryjo01
4,57,"2,609",45.8,62,3,23,21,0,S1,T25,P2100,/players/jordan-berry-berryjo01
0,0,0,0.0,0,0,0,--,0,S5,T25,P2101,/players/chris-boswell-boswech01
1,0,0,0.0,0,0,0,--,0,S4,T25,P2101,/players/chris-boswell-boswech01
2,0,0,0.0,0,0,0,--,0,S3,T25,P2101,/players/chris-boswell-boswech01
3,0,0,0.0,0,0,0,0,0,S2,T25,P2101,/players/chris-boswell-boswech01
4,0,0,0.0,0,0,0,0,0,S1,T25,P2101,/players/chris-boswell-boswech01
0,0,0,0.0,0,0,0,--,0,S3,T25,P2117,/players/terrell-edmunds-edmunte01
1,0,0,0.0,0,0,0,0,0,S2,T25,P2117,/players/terrell-edmunds-edmunte01
2,0,0,0.0,0,0,0,0,0,S1,T25,P2117,/players/terrell-edmunds-edmunte01
0,0,0,0.0,0,0,0,--,0,S5,T25,P2141,/players/ben-roethlisberger-roethbe01
1,0,0,0.0,0,0,0,--,0,S4,T25,P2141,/players/ben-roethlisberger-roethbe01
2,1,27,27.0,27,0,0,--,0,S3,T25,P2141,/players/ben-roethlisberger-roethbe01
3,0,0,0.0,0,0,0,0,0,S2,T25,P2141,/players/ben-roethlisberger-roethbe01
4,0,0,0.0,0,0,0,0,0,S1,T25,P2141,/players/ben-roethlisberger-roethbe01
0,74,"3,237",43.7,61,5,36,--,0,S3,T13,P2172,/players/trevor-daniel-danietr02
1,11,479,43.5,54,0,2,2,0,S2,T13,P2172,/players/trevor-daniel-danietr02
2,4,157,39.2,52,0,0,1,1,S1,T31,P2172,/players/trevor-daniel-danietr02
0,0,0,0.0,0,0,0,--,0,S5,T19,P2183,/players/stephen-gostkowski-gostkst01
1,0,0,0.0,0,0,0,--,0,S4,T19,P2183,/players/stephen-gostkowski-gostkst01
2,0,0,0.0,0,0,0,--,0,S3,T19,P2183,/players/stephen-gostkowski-gostkst01
3,0,0,0.0,0,0,0,0,0,S2,T19,P2183,/players/stephen-gostkowski-gostkst01
4,0,0,0.0,0,0,0,0,0,S1,T31,P2183,/players/stephen-gostkowski-gostkst01
0,77,"3,402",44.2,71,4,32,--,0,S5,T31,P2194,/players/brett-kern-kernbr01
1,75,"3,728",49.7,74,5,28,--,0,S4,T31,P2194,/players/brett-kern-kernbr01
2,74,"3,483",47.1,62,3,39,--,1,S3,T31,P2194,/players/brett-kern-kernbr01
3,78,"3,672",47.1,70,2,37,31,0,S2,T31,P2194,/players/brett-kern-kernbr01
4,37,"1,695",45.8,66,3,22,13,0,S1,T31,P2194,/players/brett-kern-kernbr01
0,0,0,0.0,0,0,0,--,0,S5,T17,P2219,/players/ryan-tannehill-tannery01
1,0,0,0.0,0,0,0,--,0,S3,T17,P2219,/players/ryan-tannehill-tannery01
2,0,0,0.0,0,0,0,0,0,S2,T31,P2219,/players/ryan-tannehill-tannery01
3,0,0,0.0,0,0,0,0,0,S1,T31,P2219,/players/ryan-tannehill-tannery01
0,0,0,0.0,0,0,0,--,0,S3,T6,P2238,/players/ryan-winslow-winslry01
0,44,"2,060",46.8,68,1,21,--,0,S5,T2,P2240,/players/matt-bosher-boshema01
1,53,"2,379",44.9,62,2,19,--,0,S4,T2,P2240,/players/matt-bosher-boshema01
2,60,"2,729",45.5,57,3,22,--,2,S3,T2,P2240,/players/matt-bosher-boshema01
3,9,377,41.9,52,0,2,2,1,S2,T2,P2240,/players/matt-bosher-boshema01
0,2,67,33.5,36,0,0,--,0,S5,T2,P2241,/players/matt-bryant-bryanma01
1,0,0,0.0,0,0,0,--,0,S4,T2,P2241,/players/matt-bryant-bryanma01
2,0,0,0.0,0,0,0,--,0,S3,T2,P2241,/players/matt-bryant-bryanma01
3,0,0,0.0,0,0,0,0,0,S2,T2,P2241,/players/matt-bryant-bryanma01
0,0,0,0.0,0,0,0,--,0,S5,T8,P2248,/players/kasey-redfern-redfeka01
1,1,50,50.0,50,0,0,--,0,S4,T11,P2248,/players/kasey-redfern-redfeka01
2,9,371,41.2,54,0,3,2,0,S2,T2,P2248,/players/kasey-redfern-redfeka01
0,0,0,0.0,0,0,0,--,0,S5,T9,P2251,/players/matt-wile-wilema01
1,0,0,0.0,0,0,0,--,0,S4,T1,P2251,/players/matt-wile-wilema01
2,72,"3,255",45.2,70,2,27,--,1,S3,T18,P2251,/players/matt-wile-wilema01
3,6,290,48.3,60,0,3,3,0,S2,T2,P2251,/players/matt-wile-wilema01
0,0,0,0.0,0,0,0,--,0,S5,T14,P2262,/players/michael-palardy-palarmi01
1,71,"3,269",46.0,63,4,25,--,0,S4,T5,P2262,/players/michael-palardy-palarmi01
2,61,"2,759",45.2,59,4,24,--,0,S3,T5,P2262,/players/michael-palardy-palarmi01
3,75,"3,452",46.0,62,3,25,28,0,S2,T5,P2262,/players/michael-palardy-palarmi01
0,0,0,0.0,0,0,0,--,0,S3,T9,P2287,/players/brett-maher-maherbr02
1,0,0,0.0,0,0,0,0,0,S2,T9,P2287,/players/brett-maher-maherbr02
0,0,0,0.0,0,0,0,--,0,S4,T9,P2291,/players/cooper-rush-rushco01
1,0,0,0.0,0,0,0,--,0,S3,T9,P2291,/players/cooper-rush-rushco01
2,0,0,0.0,0,0,0,0,0,S2,T9,P2291,/players/cooper-rush-rushco01
0,0,0,0.0,0,0,0,--,0,S5,T3,P2324,/players/eric-weddle-weddler01
1,0,0,0.0,0,0,0,--,0,S4,T3,P2324,/players/eric-weddle-weddler01
2,0,0,0.0,0,0,0,--,0,S3,T3,P2324,/players/eric-weddle-weddler01
3,0,0,0.0,0,0,0,0,0,S2,T29,P2324,/players/eric-weddle-weddler01
0,0,0,0.0,0,0,0,0,0,S2,T4,P2363,/players/david-sills-sillsda01
0,65,"2,905",44.7,65,7,22,--,0,S3,T10,P2496,/players/colby-wadman-watmaco02
1,78,"3,464",44.4,64,4,29,23,0,S2,T10,P2496,/players/colby-wadman-watmaco02
0,0,0,0.0,0,0,0,--,0,S3,T10,P2507,/players/chad-kelly-kellych02
1,0,0,0.0,0,0,0,0,0,S2,T14,P2507,/players/chad-kelly-kellych02
0,0,0,0.0,0,0,0,--,0,S5,T14,P2513,/players/adam-vinatieri-vinatad01
1,0,0,0.0,0,0,0,--,0,S4,T14,P2513,/players/adam-vinatieri-vinatad01
2,0,0,0.0,0,0,0,--,0,S3,T14,P2513,/players/adam-vinatieri-vinatad01
3,0,0,0.0,0,0,0,0,0,S2,T14,P2513,/players/adam-vinatieri-vinatad01
0,0,0,0.0,0,0,0,--,0,S4,T8,P2547,/players/deshone-kizer-kizerde01
1,0,0,0.0,0,0,0,--,0,S3,T12,P2547,/players/deshone-kizer-kizerde01
2,0,0,0.0,0,0,0,0,0,S2,T12,P2547,/players/deshone-kizer-kizerde01
0,0,0,0.0,0,0,0,--,0,S5,T8,P2591,/players/cody-kessler-kesslco01
1,0,0,0.0,0,0,0,--,0,S4,T8,P2591,/players/cody-kessler-kesslco01
2,0,0,0.0,0,0,0,--,0,S3,T15,P2591,/players/cody-kessler-kesslco01
3,0,0,0.0,0,0,0,0,0,S2,T19,P2591,/players/cody-kessler-kesslco01
0,75,"3,236",43.1,59,4,24,--,1,S5,T22,P2597,/players/lachlan-edwards-edwarla04
1,94,"4,378",46.6,70,4,33,--,0,S4,T22,P2597,/players/lachlan-edwards-edwarla04
2,82,"3,763",45.9,67,5,23,--,0,S3,T22,P2597,/players/lachlan-edwards-edwarla04
3,87,"3,991",45.9,63,3,28,25,0,S2,T22,P2597,/players/lachlan-edwards-edwarla04
0,0,0,0.0,0,0,0,--,0,S3,T3,P2612,/players/kaare-vedvik-vedvika01
1,0,0,0.0,0,0,0,0,0,S2,T3,P2612,/players/kaare-vedvik-vedvika01
0,0,0,0.0,0,0,0,0,0,S2,T25,P2619,/players/devlin-hodges-hodgede01
0,0,0,0.0,0,0,0,--,0,S3,T11,P2634,/players/ryan-santoso-santory01
1,0,0,0.0,0,0,0,0,0,S2,T11,P2634,/players/ryan-santoso-santory01
0,0,0,0.0,0,0,0,--,0,S5,T27,P2645,/players/phil-dawson-dawsoph01
1,0,0,0.0,0,0,0,--,0,S4,T1,P2645,/players/phil-dawson-dawsoph01
2,0,0,0.0,0,0,0,--,0,S3,T1,P2645,/players/phil-dawson-dawsoph01
0,2,66,33.0,47,0,0,--,0,S5,T1,P2680,/players/chandler-catanzaro-catanch01
1,0,0,0.0,0,0,0,--,0,S4,T22,P2680,/players/chandler-catanzaro-catanch01
2,0,0,0.0,0,0,0,--,0,S3,T30,P2680,/players/chandler-catanzaro-catanch01
3,0,0,0.0,0,0,0,0,0,S2,T22,P2680,/players/chandler-catanzaro-catanch01
0,0,0,0.0,0,0,0,--,0,S5,T31,P2711,/players/matt-cassel-cassema01
1,0,0,0.0,0,0,0,--,0,S4,T31,P2711,/players/matt-cassel-cassema01
2,0,0,0.0,0,0,0,--,0,S3,T11,P2711,/players/matt-cassel-cassema01
0,0,0,0.0,0,0,0,--,0,S3,T21,P2774,/players/kyle-lauletta-lauleky01
1,0,0,0.0,0,0,0,0,0,S2,T21,P2774,/players/kyle-lauletta-lauleky01
0,0,0,0.0,0,0,0,--,0,S5,T23,P2810,/players/sebastian-janikowski-janikse01
1,0,0,0.0,0,0,0,--,0,S4,T23,P2810,/players/sebastian-janikowski-janikse01
2,0,0,0.0,0,0,0,--,0,S3,T28,P2810,/players/sebastian-janikowski-janikse01
0,0,0,0.0,0,0,0,--,0,S3,T3,P2859,/players/janarion-grant-grantja02
0,90,"3,991",44.3,66,5,32,--,0,S5,T17,P2866,/players/matt-darr-darrma01
1,0,0,0.0,0,0,0,--,0,S4,T17,P2866,/players/matt-darr-darrma01
2,20,809,40.5,55,1,5,--,0,S3,T4,P2866,/players/matt-darr-darrma01
3,0,0,0.0,0,0,0,0,0,S2,T22,P2866,/players/matt-darr-darrma01
0,75,"3,183",42.4,58,3,20,--,0,S5,T4,P2880,/players/colton-schmidt-schmico01
1,79,"3,529",44.7,60,6,28,--,0,S4,T4,P2880,/players/colton-schmidt-schmico01
2,16,676,42.2,55,2,4,--,0,S3,T4,P2880,/players/colton-schmidt-schmico01
0,81,"3,937",48.6,72,9,34,--,0,S5,T23,P2917,/players/marquette-king-kingma02
1,69,"3,270",47.4,65,6,28,--,0,S4,T23,P2917,/players/marquette-king-kingma02
2,20,881,44.0,66,1,7,--,0,S3,T10,P2917,/players/marquette-king-kingma02
0,63,"2,888",45.8,72,6,21,--,0,S5,T24,P2997,/players/donnie-jones-jonesdo04
1,67,"3,033",45.3,62,5,21,--,1,S4,T24,P2997,/players/donnie-jones-jonesdo04
2,47,"1,990",42.3,59,3,15,--,0,S3,T26,P2997,/players/donnie-jones-jonesdo04
0,59,"2,731",46.3,69,5,18,--,0,S5,T26,P2999,/players/drew-kaser-kaserdr01
1,74,"3,558",48.1,69,9,27,--,0,S4,T26,P2999,/players/drew-kaser-kaserdr01
2,13,629,48.4,66,1,5,--,1,S3,T26,P2999,/players/drew-kaser-kaserdr01
0,0,0,0.0,0,0,0,--,0,S5,T24,P3006,/players/caleb-sturgis-sturgca01
1,0,0,0.0,0,0,0,--,0,S4,T24,P3006,/players/caleb-sturgis-sturgca01
2,1,24,24.0,24,0,1,--,0,S3,T26,P3006,/players/caleb-sturgis-sturgca01
0,0,0,0.0,0,0,0,--,0,S4,T21,P3050,/players/davis-webb-webbda02
1,0,0,0.0,0,0,0,--,0,S3,T21,P3050,/players/davis-webb-webbda02
2,0,0,0.0,0,0,0,0,0,S2,T22,P3050,/players/davis-webb-webbda02
0,0,0,0.0,0,0,0,--,0,S5,T8,P3060,/players/austin-davis-davisau01
1,0,0,0.0,0,0,0,--,0,S4,T28,P3060,/players/austin-davis-davisau01
2,0,0,0.0,0,0,0,--,0,S3,T31,P3060,/players/austin-davis-davisau01
0,0,0,0.0,0,0,0,--,0,S5,T6,P3110,/players/connor-barth-barthco01
1,0,0,0.0,0,0,0,--,0,S4,T6,P3110,/players/connor-barth-barthco01
0,74,"3,155",42.6,72,3,34,--,0,S5,T18,P3144,/players/jeff-locke-lockeje01
1,27,"1,222",45.3,54,0,11,--,0,S4,T11,P3144,/players/jeff-locke-lockeje01
2,0,0,0.0,0,0,0,--,0,S3,T27,P3144,/players/jeff-locke-lockeje01
0,71,"3,155",44.4,62,2,19,--,0,S4,T12,P3166,/players/justin-vogel-vogelju01
1,0,0,0.0,0,0,0,--,0,S3,T8,P3166,/players/justin-vogel-vogelju01
0,34,"1,416",41.6,55,2,13,--,1,S5,T1,P3178,/players/ryan-quigley-quiglry01
1,71,"2,994",42.2,56,0,29,--,0,S4,T18,P3178,/players/ryan-quigley-quiglry01
2,0,0,0.0,0,0,0,--,0,S3,T18,P3178,/players/ryan-quigley-quiglry01
0,93,"4,297",46.2,63,8,28,--,0,S5,T21,P3222,/players/brad-wing-wingbr01
1,95,"4,189",44.1,69,9,19,--,2,S4,T21,P3222,/players/brad-wing-wingbr01
0,71,"3,126",44.0,64,3,26,--,1,S5,T28,P3254,/players/jon-ryan-ryanjo03
1,92,"4,141",45.0,74,6,29,--,0,S4,T28,P3254,/players/jon-ryan-ryanjo03
2,0,0,0.0,0,0,0,--,0,S3,T4,P3254,/players/jon-ryan-ryanjo03
0,0,0,0.0,0,0,0,--,0,S5,T18,P3256,/players/blair-walsh-walshbl01
1,0,0,0.0,0,0,0,--,0,S4,T28,P3256,/players/blair-walsh-walshbl01
2,0,0,0.0,0,0,0,0,0,S2,T2,P3256,/players/blair-walsh-walshbl01
0,0,0,0.0,0,0,0,--,0,S5,T8,P3264,/players/patrick-murray-murrapa02
1,0,0,0.0,0,0,0,--,0,S4,T30,P3264,/players/patrick-murray-murrapa02
0,0,0,0.0,0,0,0,--,0,S5,T2,P3286,/players/nick-rose-roseni01
1,0,0,0.0,0,0,0,--,0,S4,T27,P3286,/players/nick-rose-roseni01
2,0,0,0.0,0,0,0,--,0,S3,T13,P3286,/players/nick-rose-roseni01
0,0,0,0.0,0,0,0,--,0,S5,T3,P3296,/players/ryan-mallett-mallery01
1,0,0,0.0,0,0,0,--,0,S4,T3,P3296,/players/ryan-mallett-mallery01
0,0,0,0.0,0,0,0,--,0,S5,T17,P3316,/players/marshall-koehn-koehnma01
1,0,0,0.0,0,0,0,--,0,S4,T7,P3316,/players/marshall-koehn-koehnma01
2,0,0,0.0,0,0,0,--,0,S3,T21,P3316,/players/marshall-koehn-koehnma01
0,72,"3,423",47.5,62,3,30,--,0,S5,T13,P3363,/players/shane-lechler-lechlsh01
1,92,"4,507",49.0,68,5,32,--,0,S4,T13,P3363,/players/shane-lechler-lechlsh01
2,0,0,0.0,0,0,0,--,0,S3,T13,P3363,/players/shane-lechler-lechlsh01
0,77,"3,589",46.6,78,8,27,--,0,S5,T15,P3392,/players/brad-nortman-nortmbr01
1,87,"3,835",44.1,65,9,29,--,1,S4,T15,P3392,/players/brad-nortman-nortmbr01
0,0,0,0.0,0,0,0,--,0,S5,T8,P3424,/players/travis-coons-coonstr01
1,0,0,0.0,0,0,0,--,0,S4,T29,P3424,/players/travis-coons-coonstr01
0,0,0,0.0,0,0,0,--,0,S5,T13,P3431,/players/nick-novak-novakni01
1,0,0,0.0,0,0,0,--,0,S4,T13,P3431,/players/nick-novak-novakni01
0,0,0,0.0,0,0,0,--,0,S5,T22,P3457,/players/christian-hackenberg-hackech02
1,0,0,0.0,0,0,0,--,0,S4,T22,P3457,/players/christian-hackenberg-hackech02
2,0,0,0.0,0,0,0,--,0,S3,T24,P3457,/players/christian-hackenberg-hackech02
0,32,"1,350",42.2,62,0,10,--,0,S5,T1,P3493,/players/drew-butler-butledr01
0,0,0,0.0,0,0,0,--,0,S5,T1,P3495,/players/zac-dysert-dyserza01
0,0,0,0.0,0,0,0,--,0,S5,T30,P3574,/players/jake-schum-schumja01
0,0,0,0.0,0,0,0,--,0,S5,T21,P3616,/players/josh-brown-brownjo05
0,0,0,0.0,0,0,0,--,0,S5,T28,P3663,/players/trevone-boykin-boykitr01
1,0,0,0.0,0,0,0,--,0,S4,T28,P3663,/players/trevone-boykin-boykitr01
0,0,0,0.0,0,0,0,--,0,S5,T4,P3720,/players/dan-carpenter-carpeda01
0,0,0,0.0,0,0,0,--,0,S5,T4,P3724,/players/jordan-gay-gayjo01
1,0,0,0.0,0,0,0,--,0,S4,T31,P3724,/players/jordan-gay-gayjo01
0,55,"2,711",49.3,74,9,19,--,1,S5,T14,P3787,/players/pat-mcafee-mcafepa01
0,0,0,0.0,0,0,0,--,0,S5,T15,P3803,/players/denard-robinson-robinde05
