,FGM,FGA,FPct,0-19,20-29,30-39,40-49,50+,Long,XPM,XPA,XPct,Pts,SId,TId,PId,Player
0,15,20,75.0,0-0,5-5,4-6,4-6,2-3,54,25,26,96.2,70,S4,T8,P27,/players/zane-gonzalez-gonzaza01
1,2,5,40.0,0-0,0-0,2-2,0-2,0-1,39,3,5,60.0,9,S3,T8,P27,/players/zane-gonzalez-gonzaza01
2,31,35,88.6,0-0,12-12,12-13,5-8,2-2,54,34,35,97.1,127,S2,T1,P27,/players/zane-gonzalez-gonzaza01
3,16,22,72.7,0-0,4-4,2-2,8-13,2-3,56,38,39,97.4,86,S1,T1,P27,/players/zane-gonzalez-gonzaza01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S5,T12,P31,/players/brett-hundley-hundlbr01
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S4,T12,P31,/players/brett-hundley-hundlbr01
2,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S3,T12,P31,/players/brett-hundley-hundlbr01
3,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S2,T1,P31,/players/brett-hundley-hundlbr01
4,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S1,T1,P31,/players/brett-hundley-hundlbr01
0,23,29,79.3,0-0,9-9,9-10,5-7,0-3,47,23,29,79.3,92,S5,T7,P49,/players/mike-nugent-nugenmi01
1,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S4,T21,P49,/players/mike-nugent-nugenmi01
2,6,6,100.0,0-0,3-3,0-0,2-2,1-1,52,4,5,80.0,22,S3,T23,P49,/players/mike-nugent-nugenmi01
3,5,8,62.5,0-0,3-4,2-3,0-1,0-0,37,15,16,93.8,30,S2,T19,P49,/players/mike-nugent-nugenmi01
4,7,8,87.5,0-0,1-1,4-5,2-2,0-0,43,7,7,100.0,28,S1,T1,P49,/players/mike-nugent-nugenmi01
0,1,1,100.0,0-0,1-1,0-0,0-0,0-0,23,1,2,50.0,4,S1,T2,P86,/players/elliott-fry-fryel01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S1,T2,P98,/players/sterling-hofrichter-hofrist01
0,3,6,50.0,0-0,2-2,0-0,1-4,0-0,41,9,9,100.0,18,S4,T26,P104,/players/younghoe-koo-kooyo01
1,37,39,94.9,0-0,10-10,11-12,8-9,8-8,54,33,36,91.7,144,S1,T2,P104,/players/younghoe-koo-kooyo01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S3,T2,P127,/players/ito-smith-smithit01
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S2,T2,P127,/players/ito-smith-smithit01
2,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S1,T2,P127,/players/ito-smith-smithit01
0,25,32,78.1,0-0,4-5,5-5,8-11,8-11,55,31,35,88.6,106,S2,T5,P192,/players/joey-slye-slyejo01
1,29,36,80.6,0-0,11-12,10-10,7-8,1-6,56,33,36,91.7,120,S1,T5,P192,/players/joey-slye-slyejo01
0,31,35,88.6,0-0,8-9,15-17,6-7,2-2,54,36,39,92.3,129,S5,T16,P256,/players/cairo-santos-santoca01
1,3,3,100.0,0-0,0-0,3-3,0-0,0-0,39,12,12,100.0,21,S4,T16,P256,/players/cairo-santos-santoca01
2,5,6,83.3,1-1,2-2,2-2,0-1,0-0,39,5,6,83.3,20,S3,T29,P256,/players/cairo-santos-santoca01
3,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S2,T30,P256,/players/cairo-santos-santoca01
4,30,32,93.8,0-0,9-9,10-10,9-10,2-3,55,36,37,97.3,126,S1,T6,P256,/players/cairo-santos-santoca01
0,19,22,86.4,0-0,5-5,9-9,3-4,2-4,54,23,23,100.0,80,S5,T29,P343,/players/greg-zuerlein-zuerlgr01
1,38,40,95.0,1-1,8-8,11-12,12-12,6-7,56,44,46,95.7,158,S4,T29,P343,/players/greg-zuerlein-zuerlgr01
2,27,31,87.1,0-0,9-9,10-10,4-6,4-6,56,35,36,97.2,116,S3,T29,P343,/players/greg-zuerlein-zuerlgr01
3,24,33,72.7,0-0,7-7,7-8,5-11,5-7,58,42,42,100.0,114,S2,T29,P343,/players/greg-zuerlein-zuerlgr01
4,34,41,82.9,1-1,5-5,13-13,12-13,3-9,59,33,36,91.7,135,S1,T9,P343,/players/greg-zuerlein-zuerlgr01
0,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S2,T16,P363,/players/jack-fox-foxja02
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S1,T11,P363,/players/jack-fox-foxja02
0,31,36,86.1,0-0,10-10,4-5,10-14,7-7,58,31,33,93.9,124,S5,T11,P396,/players/matt-prater-pratema01
1,30,35,85.7,2-2,4-4,10-10,7-8,7-11,58,40,41,97.6,130,S4,T11,P396,/players/matt-prater-pratema01
2,28,32,87.5,0-0,8-8,12-12,5-7,3-5,54,30,30,100.0,114,S3,T11,P396,/players/matt-prater-pratema01
3,26,31,83.9,0-0,11-11,2-3,6-9,7-8,56,35,36,97.2,113,S2,T11,P396,/players/matt-prater-pratema01
4,21,28,75.0,0-0,4-4,7-7,4-7,6-10,59,38,41,92.7,101,S1,T11,P396,/players/matt-prater-pratema01
0,26,30,86.7,1-1,6-6,13-15,5-6,1-2,53,44,47,93.6,122,S5,T12,P432,/players/mason-crosby-crosbma01
1,15,19,78.9,0-0,8-8,2-4,4-4,1-3,50,33,35,94.3,78,S4,T12,P432,/players/mason-crosby-crosbma01
2,30,37,81.1,0-0,4-4,10-11,11-15,5-7,53,34,36,94.4,124,S3,T12,P432,/players/mason-crosby-crosbma01
3,22,24,91.7,1-1,2-2,11-11,7-8,1-2,54,40,41,97.6,106,S2,T12,P432,/players/mason-crosby-crosbma01
4,16,16,100.0,1-1,1-1,5-5,5-5,4-4,57,59,63,93.7,107,S1,T12,P432,/players/mason-crosby-crosbma01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S3,T12,P470,/players/jk-scott-scottjk01
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S2,T12,P470,/players/jk-scott-scottjk01
2,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S1,T12,P470,/players/jk-scott-scottjk01
0,15,15,100.0,0-0,5-5,5-5,4-4,1-1,51,11,14,78.6,56,S5,T18,P506,/players/kai-forbath-forbaka01
1,32,38,84.2,0-0,8-8,12-14,6-7,6-9,53,34,39,87.2,130,S4,T18,P506,/players/kai-forbath-forbaka01
2,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S3,T18,P506,/players/kai-forbath-forbaka01
3,1,1,100.0,0-0,1-1,0-0,0-0,0-0,23,1,2,50.0,4,S2,T19,P506,/players/kai-forbath-forbaka01
4,2,3,66.7,0-0,2-2,0-0,0-1,0-0,23,4,5,80.0,10,S1,T29,P506,/players/kai-forbath-forbaka01
0,27,35,77.1,0-0,6-6,5-7,11-14,5-8,58,43,48,89.6,124,S2,T30,P510,/players/matt-gay-gayma02
1,14,16,87.5,0-0,2-2,5-6,6-7,1-1,51,16,16,100.0,58,S1,T29,P510,/players/matt-gay-gayma02
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S5,T29,P514,/players/johnny-hekker-hekkejo01
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S4,T29,P514,/players/johnny-hekker-hekkejo01
2,1,1,100.0,0-0,1-1,0-0,0-0,0-0,20,1,1,100.0,4,S3,T29,P514,/players/johnny-hekker-hekkejo01
3,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S2,T29,P514,/players/johnny-hekker-hekkejo01
4,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S1,T29,P514,/players/johnny-hekker-hekkejo01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S1,T29,P524,/players/xavier-jones-jonesxa01
0,8,11,72.7,0-0,2-3,5-5,1-2,0-1,42,18,21,85.7,42,S1,T29,P546,/players/samuel-sloman-slomasa01
0,27,32,84.4,0-0,9-9,8-8,7-9,3-6,56,46,46,100.0,127,S5,T9,P555,/players/dan-bailey-baileda04
1,15,20,75.0,1-1,3-4,4-5,4-5,3-5,56,26,28,92.9,71,S4,T9,P555,/players/dan-bailey-baileda04
2,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S3,T9,P555,/players/dan-bailey-baileda04
3,27,29,93.1,0-0,10-10,9-9,5-7,3-3,50,40,44,90.9,121,S2,T18,P555,/players/dan-bailey-baileda04
4,15,22,68.2,0-0,6-6,3-4,4-7,2-5,53,37,43,86.0,82,S1,T18,P555,/players/dan-bailey-baileda04
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S5,T8,P565,/players/britton-colquitt-colqubr01
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S4,T8,P565,/players/britton-colquitt-colqubr01
2,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S3,T8,P565,/players/britton-colquitt-colqubr01
3,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S2,T8,P565,/players/britton-colquitt-colqubr01
4,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S1,T18,P565,/players/britton-colquitt-colqubr01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S4,T20,P624,/players/alex-anzalone-anzalal01
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S3,T20,P624,/players/alex-anzalone-anzalal01
2,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S2,T20,P624,/players/alex-anzalone-anzalal01
3,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S1,T20,P624,/players/alex-anzalone-anzalal01
0,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S5,T3,P666,/players/wil-lutz-lutzwi01
1,31,36,86.1,0-0,10-10,4-5,13-16,4-5,53,47,50,94.0,140,S4,T20,P666,/players/wil-lutz-lutzwi01
2,28,30,93.3,1-1,5-5,9-9,11-12,2-3,54,52,53,98.1,136,S3,T20,P666,/players/wil-lutz-lutzwi01
3,32,36,88.9,1-1,9-9,6-6,13-15,3-5,58,48,49,98.0,144,S2,T20,P666,/players/wil-lutz-lutzwi01
4,23,28,82.1,0-0,5-6,10-10,7-9,1-3,53,57,58,98.3,126,S1,T20,P666,/players/wil-lutz-lutzwi01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S5,T20,P669,/players/thomas-morstead-morstth01
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S4,T20,P669,/players/thomas-morstead-morstth01
2,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S3,T20,P669,/players/thomas-morstead-morstth01
3,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S2,T20,P669,/players/thomas-morstead-morstth01
4,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S1,T20,P669,/players/thomas-morstead-morstth01
0,30,38,78.9,0-0,4-4,9-11,14-17,3-6,54,31,34,91.2,121,S5,T5,P713,/players/graham-gano-ganogr01
1,29,30,96.7,0-0,8-8,11-11,10-10,0-1,48,34,37,91.9,121,S4,T5,P713,/players/graham-gano-ganogr01
2,14,16,87.5,0-0,3-3,4-5,4-4,3-4,63,30,33,90.9,72,S3,T5,P713,/players/graham-gano-ganogr01
3,31,32,96.9,0-0,4-4,13-13,9-9,5-6,55,21,23,91.3,114,S1,T21,P713,/players/graham-gano-ganogr01
0,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S4,T7,P779,/players/jake-elliott-ellioja04
1,26,31,83.9,0-0,7-7,10-11,7-8,2-5,56,33,35,94.3,111,S3,T24,P779,/players/jake-elliott-ellioja04
2,22,26,84.6,0-0,7-7,8-8,5-7,2-4,53,35,37,94.6,101,S2,T24,P779,/players/jake-elliott-ellioja04
3,14,19,73.7,0-0,1-3,6-6,5-5,2-5,54,24,26,92.3,66,S1,T24,P779,/players/jake-elliott-ellioja04
0,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S5,T6,P869,/players/robbie-gould-gouldro01
1,39,41,95.1,0-0,7-8,11-11,17-18,4-4,52,28,30,93.3,145,S4,T27,P869,/players/robbie-gould-gouldro01
2,33,34,97.1,0-0,9-9,13-13,9-10,2-2,53,27,29,93.1,126,S3,T27,P869,/players/robbie-gould-gouldro01
3,23,31,74.2,0-0,9-9,8-10,6-8,0-4,47,41,42,97.6,110,S2,T27,P869,/players/robbie-gould-gouldro01
4,19,23,82.6,0-0,3-3,5-6,9-10,2-4,52,36,38,94.7,93,S1,T27,P869,/players/robbie-gould-gouldro01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S4,T27,P908,/players/trent-taylor-taylotr04
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S3,T27,P908,/players/trent-taylor-taylotr04
2,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S1,T27,P908,/players/trent-taylor-taylotr04
0,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S2,T7,P912,/players/tristan-vizcaino-vizcatr01
1,3,3,100.0,0-0,0-0,2-2,1-1,0-0,47,2,2,100.0,11,S1,T27,P912,/players/tristan-vizcaino-vizcatr01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S2,T27,P923,/players/mitch-wishnowsky-wishnmi01
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S1,T27,P923,/players/mitch-wishnowsky-wishnmi01
0,27,34,79.4,0-0,7-7,3-4,10-11,7-12,56,29,32,90.6,110,S5,T15,P969,/players/jason-myers-myersja02
1,11,15,73.3,0-0,4-4,2-3,5-5,0-3,47,15,17,88.2,48,S4,T15,P969,/players/jason-myers-myersja02
2,33,36,91.7,0-0,4-4,13-14,10-11,6-7,56,30,33,90.9,129,S3,T22,P969,/players/jason-myers-myersja02
3,23,28,82.1,0-0,6-6,11-11,4-7,2-4,54,40,44,90.9,109,S2,T28,P969,/players/jason-myers-myersja02
4,24,24,100.0,0-0,2-2,7-7,13-13,2-2,61,49,53,92.5,121,S1,T28,P969,/players/jason-myers-myersja02
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S5,T27,P1042,/players/bradley-pinion-piniobr01
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S4,T27,P1042,/players/bradley-pinion-piniobr01
2,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S3,T27,P1042,/players/bradley-pinion-piniobr01
3,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S2,T30,P1042,/players/bradley-pinion-piniobr01
4,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S1,T30,P1042,/players/bradley-pinion-piniobr01
0,22,24,91.7,1-1,4-4,6-6,8-8,3-5,53,39,41,95.1,105,S5,T31,P1049,/players/ryan-succop-succory01
1,35,42,83.3,0-0,10-10,7-7,16-20,2-5,52,31,33,93.9,136,S4,T31,P1049,/players/ryan-succop-succory01
2,26,30,86.7,0-0,5-6,13-13,5-7,3-4,54,28,31,90.3,106,S3,T31,P1049,/players/ryan-succop-succory01
3,1,6,16.7,0-0,0-0,1-1,0-4,0-1,31,24,25,96.0,27,S2,T31,P1049,/players/ryan-succop-succory01
4,28,31,90.3,1-1,10-10,9-9,7-9,1-2,50,52,57,91.2,136,S1,T30,P1049,/players/ryan-succop-succory01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S5,T17,P1050,/players/ndamukong-suh-suhnd01
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S4,T17,P1050,/players/ndamukong-suh-suhnd01
2,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S3,T29,P1050,/players/ndamukong-suh-suhnd01
3,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S2,T30,P1050,/players/ndamukong-suh-suhnd01
4,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S1,T30,P1050,/players/ndamukong-suh-suhnd01
0,34,42,81.0,0-0,12-12,12-14,7-9,3-7,53,36,39,92.3,138,S5,T32,P1087,/players/dustin-hopkins-hopkidu01
1,14,17,82.4,1-1,7-7,2-2,4-5,0-2,49,18,19,94.7,60,S4,T32,P1087,/players/dustin-hopkins-hopkidu01
2,26,29,89.7,0-0,5-5,7-7,10-12,4-5,56,25,26,96.2,103,S3,T32,P1087,/players/dustin-hopkins-hopkidu01
3,25,30,83.3,0-0,7-8,8-9,8-10,2-3,53,21,22,95.5,96,S2,T32,P1087,/players/dustin-hopkins-hopkidu01
4,27,34,79.4,0-0,5-5,7-8,13-17,2-4,51,30,32,93.8,111,S1,T32,P1087,/players/dustin-hopkins-hopkidu01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S5,T32,P1128,/players/tress-way-waytr01
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S4,T32,P1128,/players/tress-way-waytr01
2,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S3,T32,P1128,/players/tress-way-waytr01
3,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S2,T32,P1128,/players/tress-way-waytr01
4,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S1,T32,P1128,/players/tress-way-waytr01
0,38,39,97.4,0-0,4-4,10-11,14-14,10-10,57,27,27,100.0,141,S5,T3,P1195,/players/justin-tucker-tuckeju01
1,34,37,91.9,0-0,7-7,11-11,11-12,5-7,57,39,39,100.0,141,S4,T3,P1195,/players/justin-tucker-tuckeju01
2,35,39,89.7,0-0,12-12,9-9,9-11,5-7,56,36,37,97.3,141,S3,T3,P1195,/players/justin-tucker-tuckeju01
3,28,29,96.6,0-0,8-8,9-9,10-11,1-1,51,57,59,96.6,141,S2,T3,P1195,/players/justin-tucker-tuckeju01
4,26,29,89.7,0-0,8-8,6-7,9-9,3-5,55,52,53,98.1,130,S1,T3,P1195,/players/justin-tucker-tuckeju01
0,28,34,82.4,1-1,9-9,6-9,8-9,4-6,58,57,59,96.6,141,S1,T4,P1206,/players/tyler-bass-bassty01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S3,T4,P1221,/players/tremaine-edmunds-edmuntr02
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S2,T4,P1221,/players/tremaine-edmunds-edmuntr02
2,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S1,T4,P1221,/players/tremaine-edmunds-edmuntr02
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,2,3,66.7,2,S5,T21,P1285,/players/randy-bullock-bullora01
1,18,20,90.0,0-0,6-6,7-8,4-5,1-1,51,31,33,93.9,85,S4,T7,P1285,/players/randy-bullock-bullora01
2,19,23,82.6,0-0,4-4,7-8,6-6,2-5,51,39,41,95.1,96,S3,T7,P1285,/players/randy-bullock-bullora01
3,27,31,87.1,0-0,10-10,6-6,10-12,1-3,57,24,25,96.0,105,S2,T7,P1285,/players/randy-bullock-bullora01
4,21,26,80.8,0-0,3-3,8-10,7-8,3-5,55,24,25,96.0,87,S1,T7,P1285,/players/randy-bullock-bullora01
0,25,29,86.2,0-0,6-6,9-9,9-12,1-2,53,30,35,85.7,105,S2,T8,P1324,/players/austin-seibert-seibeau01
1,0,1,0.0,0-0,0-0,0-0,0-1,0-0,0,0,1,0.0,0,S1,T8,P1324,/players/austin-seibert-seibeau01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S2,T8,P1352,/players/jamie-gillan-gillaja01
1,0,1,0.0,0-0,0-0,0-0,0-0,0-1,0,0,0,0.0,0,S1,T8,P1352,/players/jamie-gillan-gillaja01
0,20,25,80.0,0-0,6-6,6-6,7-12,1-1,51,20,21,95.2,80,S5,T8,P1384,/players/cody-parkey-parkeco02
1,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S4,T8,P1384,/players/cody-parkey-parkeco02
2,23,30,76.7,0-0,6-6,7-10,9-12,1-2,50,42,45,93.3,111,S3,T6,P1384,/players/cody-parkey-parkeco02
3,3,3,100.0,0-0,0-0,0-0,2-2,1-1,51,5,6,83.3,14,S2,T31,P1384,/players/cody-parkey-parkeco02
4,19,22,86.4,0-0,5-5,4-6,10-11,0-0,46,43,47,91.5,100,S1,T8,P1384,/players/cody-parkey-parkeco02
0,29,34,85.3,0-0,9-9,10-10,7-9,3-6,55,32,33,97.0,119,S5,T10,P1453,/players/brandon-mcmanus-mcmanbr01
1,24,32,75.0,0-0,6-8,11-12,4-6,3-6,53,27,27,100.0,99,S4,T10,P1453,/players/brandon-mcmanus-mcmanbr01
2,20,25,80.0,0-0,5-5,6-6,7-7,2-7,53,35,35,100.0,95,S3,T10,P1453,/players/brandon-mcmanus-mcmanbr01
3,29,34,85.3,0-0,6-6,9-9,10-12,4-7,53,25,26,96.2,112,S2,T10,P1453,/players/brandon-mcmanus-mcmanbr01
4,28,34,82.4,0-0,6-6,4-5,8-8,10-15,58,24,27,88.9,108,S1,T10,P1453,/players/brandon-mcmanus-mcmanbr01
0,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S5,T13,P1495,/players/kaimi-fairbairn-fairbka01
1,20,25,80.0,0-0,3-4,8-10,6-7,3-4,55,32,35,91.4,92,S4,T13,P1495,/players/kaimi-fairbairn-fairbka01
2,37,42,88.1,1-1,9-9,11-11,12-15,4-6,54,39,41,95.1,150,S3,T13,P1495,/players/kaimi-fairbairn-fairbka01
3,20,25,80.0,0-0,5-5,8-8,4-6,3-6,54,40,45,88.9,100,S2,T13,P1495,/players/kaimi-fairbairn-fairbka01
4,27,31,87.1,0-0,8-8,9-9,6-8,4-6,54,37,40,92.5,118,S1,T13,P1495,/players/kaimi-fairbairn-fairbka01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S5,T30,P1506,/players/vernon-hargreaves-hargrve01
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S4,T30,P1506,/players/vernon-hargreaves-hargrve01
2,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S3,T30,P1506,/players/vernon-hargreaves-hargrve01
